Seller ID,Sellers Main Category,Sign-up Time,Activation Time,1st Listing,1st Salable,1st Transaction,phe duyet,sau thu tuc,chuan bi,san pham dau tien
312,BBFF,4/3/2018,5/3/2018,5/28/2018,6/14/2018,6/17/2018,30,75,17,3
313,Book,4/6/2018,4/13/2018,6/15/2018,6/17/2018,7/8/2018,7,93,2,21
314,Book,5/9/2018,7/16/2018,7/4/2018,7/20/2018,8/2/2018,68,85,16,13
315,BBFF,5/9/2018,5/15/2018,5/24/2018,7/20/2018,9/8/2018,6,122,57,50
316,Electronic,6/6/2018,7/10/2018,8/14/2018,8/17/2018,8/17/2018,34,72,3,0
317,BBFF,6/12/2018,7/13/2018,8/22/2018,8/23/2018,10/9/2018,31,119,1,47
318,BBFF,4/9/2018,4/19/2018,5/18/2018,6/19/2018,7/10/2018,10,92,32,21
319,BBFF,4/10/2018,5/10/2018,6/15/2018,6/20/2018,6/23/2018,30,74,5,3
320,LifeStyle,4/17/2018,4/26/2018,5/14/2018,6/27/2018,7/8/2018,9,82,44,11
321,BBFF,5/2/2018,5/9/2018,7/9/2018,7/12/2018,7/12/2018,7,71,3,0
322,BBFF,5/16/2018,7/12/2018,7/19/2018,7/26/2018,7/28/2018,57,73,7,2
323,BBFF,5/17/2018,5/28/2018,5/22/2018,7/27/2018,7/27/2018,11,71,66,0
324,BBFF,6/1/2018,6/6/2018,8/9/2018,8/11/2018,8/27/2018,5,87,2,16
325,LifeStyle,6/7/2018,6/11/2018,8/16/2018,8/17/2018,9/5/2018,4,90,1,19
326,LifeStyle,6/21/2018,6/30/2018,8/30/2018,8/31/2018,9/5/2018,9,76,1,5
327,LifeStyle,7/12/2018,9/11/2018,9/21/2018,9/21/2018,9/22/2018,61,72,0,1
328,BBFF,7/25/2018,7/26/2018,10/4/2018,10/4/2018,10/9/2018,1,76,0,5
329,BBFF,2/2/2018,3/13/2018,4/12/2018,4/13/2018,5/10/2018,39,97,1,27
330,BBFF,3/19/2018,4/18/2018,5/7/2018,5/28/2018,5/30/2018,30,72,21,2
331,BBFF,3/19/2018,3/30/2018,5/17/2018,5/28/2018,5/29/2018,11,71,11,1
332,LifeStyle,4/27/2018,6/13/2018,7/5/2018,7/6/2018,7/8/2018,47,72,1,2
